city_fips,name,st,cty_fips,cz,rucc,pop_2010
1900190,Ackley,Iowa,19083,561,6,1589
1900595,Afton,Iowa,19175,509,6,845
1900775,Akron,Iowa,19149,4,3,1486
1900910,Albia,Iowa,19135,393,7,3766
1901135,Algona,Iowa,19109,518,7,5560
1901495,Alta,Iowa,19021,564,7,1883
1901585,Alton,Iowa,19167,504,7,1216
1901855,Ames,Iowa,19169,15,3,58965
1902260,Anita,Iowa,19029,597,6,972
1903520,Atlantic,Iowa,19029,597,6,7112
1903655,Audubon,Iowa,19009,597,8,2176
1905365,Bedford,Iowa,19173,509,9,1440
1905635,Bellevue,Iowa,19097,344,6,2191
1905680,Belmond,Iowa,19197,401,7,2376
1907030,Bloomfield,Iowa,19051,393,9,2640
1907480,Boone,Iowa,19015,15,6,12661
1908605,Britt,Iowa,19081,304,7,2069
1908695,Brooklyn,Iowa,19157,455,7,1468
1909550,Burlington,Iowa,19057,192,5,25663
1910045,Calmar,Iowa,19191,507,7,978
1911080,Carroll,Iowa,19027,621,7,10103
1911305,Cascade,Iowa,19061,344,3,2159
1911755,Cedar Falls,Iowa,19013,230,3,39260
1912315,Centerville,Iowa,19007,393,7,5528
1912720,Chariton,Iowa,19117,526,6,4321
1912765,Charles City,Iowa,19067,507,7,7652
1913080,Cherokee,Iowa,19035,564,6,5253
1913575,Clarinda,Iowa,19145,295,6,5572
1913620,Clarion,Iowa,19197,401,7,2850
1913755,Clarksville,Iowa,19023,230,8,1439
1914025,Clear Lake,Iowa,19033,304,5,7777
1914430,Clinton,Iowa,19045,344,4,26885
1915060,Colfax,Iowa,19099,455,6,2093
1916050,Coon Rapids,Iowa,19027,621,7,1305
1916500,Corning,Iowa,19003,509,9,1635
1916545,Correctionville,Iowa,19193,4,3,821
1916635,Corydon,Iowa,19185,526,9,1585
1917220,Cresco,Iowa,19089,507,6,3868
1917265,Creston,Iowa,19175,509,6,7834
1921180,De Witt,Iowa,19045,344,4,5322
1919405,Decorah,Iowa,19191,507,7,8127
1919945,Denison,Iowa,19047,564,7,8298
1922395,Dubuque,Iowa,19061,344,3,57637
1923115,Dyersville,Iowa,19061,344,3,4058
1923250,Eagle Grove,Iowa,19197,401,7,3583
1924420,Eldon,Iowa,19179,393,5,927
1924465,Eldora,Iowa,19083,561,6,2732
1924690,Elkader,Iowa,19043,470,8,1273
1925590,Emmetsburg,Iowa,19147,518,7,3904
1925860,Estherville,Iowa,19063,518,7,6360
1926265,Exira,Iowa,19009,597,8,840
1926445,Fairfield,Iowa,19101,478,7,9464
1927165,Fayette,Iowa,19065,230,6,1338
1928380,Forest City,Iowa,19189,304,7,4151
1928515,Fort Dodge,Iowa,19187,401,5,25206
1928605,Fort Madison,Iowa,19111,192,5,11051
1929955,Garner,Iowa,19081,304,7,3129
1930225,George,Iowa,19119,504,8,1080
1931710,Gowrie,Iowa,19187,401,5,1037
1931980,Grand Junction,Iowa,19073,621,6,824
1932745,Greene,Iowa,19023,230,8,1130
1932790,Greenfield,Iowa,19001,15,8,1982
1933105,Grinnell,Iowa,19157,455,7,9218
1933150,Griswold,Iowa,19029,597,6,1036
1933195,Grundy Center,Iowa,19075,230,3,2706
1933465,Guttenberg,Iowa,19043,470,8,1919
1933780,Hamburg,Iowa,19071,295,8,1187
1933960,Hampton,Iowa,19069,561,7,4461
1934500,Harlan,Iowa,19165,597,6,5106
1934725,Hartley,Iowa,19141,504,7,1672
1935265,Hawarden,Iowa,19167,504,7,2546
1936840,Holstein,Iowa,19093,564,8,1396
1937515,Hull,Iowa,19167,504,7,2175
1937560,Humboldt,Iowa,19091,401,7,4690
1938010,Ida Grove,Iowa,19093,564,8,2142
1938100,Independence,Iowa,19019,230,6,5966
1938595,Iowa City,Iowa,19103,161,3,67862
1938640,Iowa Falls,Iowa,19083,561,6,5238
1939450,Jefferson,Iowa,19073,621,6,4345
1939675,Jewell Junction,Iowa,19079,401,6,1215
1940845,Keokuk,Iowa,19111,192,5,10780
1940935,Keosauqua,Iowa,19177,478,9,1006
1940980,Keota,Iowa,19107,393,8,1009
1941385,Kingsley,Iowa,19149,4,3,1411
1942015,Knoxville,Iowa,19125,393,6,7313
1943365,La Porte City,Iowa,19013,230,3,2285
1942465,Lake City,Iowa,19025,401,9,1727
1942555,Lake Mills,Iowa,19189,304,7,2100
1942690,Lake View,Iowa,19161,564,9,1142
1942960,Lamoni,Iowa,19053,526,9,2324
1943275,Lansing,Iowa,19005,470,6,999
1943725,Laurens,Iowa,19151,564,9,1258
1944400,Le Mars,Iowa,19149,4,3,9826
1944490,Lenox,Iowa,19173,509,9,1407
1944535,Leon,Iowa,19053,526,9,1977
1948450,Madrid,Iowa,19015,15,6,2543
1948810,Manchester,Iowa,19055,344,6,5179
1948855,Manilla,Iowa,19047,564,7,776
1948900,Manly,Iowa,19195,304,9,1323
1948945,Manning,Iowa,19027,621,7,1500
1948990,Manson,Iowa,19025,401,9,1690
1949170,Mapleton,Iowa,19133,4,6,1224
1949215,Maquoketa,Iowa,19097,344,6,6141
1949350,Marcus,Iowa,19035,564,6,1117
1949395,Marengo,Iowa,19095,161,6,2528
1949755,Marshalltown,Iowa,19127,455,4,27552
1950160,Mason City,Iowa,19033,304,5,28079
1948000,McGregor,Iowa,19043,470,8,871
1950935,Melcher-Dallas,Iowa,19125,393,6,1288
1952095,Milford,Iowa,19059,518,7,2898
1953310,Monona,Iowa,19043,470,8,1549
1953355,Monroe,Iowa,19099,455,6,1830
1953490,Montezuma,Iowa,19157,455,7,1462
1954480,Mount Ayr,Iowa,19159,509,9,1691
1954705,Mount Pleasant,Iowa,19087,192,6,8668
1955110,Muscatine,Iowa,19139,161,4,22886
1955335,Nashua,Iowa,19037,507,6,1663
1955695,Nevada,Iowa,19169,15,3,6798
1956100,New Hampton,Iowa,19037,507,6,3571
1956325,New London,Iowa,19087,192,6,1897
1956460,New Sharon,Iowa,19123,393,7,1293
1956505,Newton,Iowa,19099,455,6,15254
1956910,Nora Springs,Iowa,19067,507,7,1431
1957630,Northwood,Iowa,19195,304,9,1989
1958575,Odebolt,Iowa,19161,564,9,1013
1958620,Oelwein,Iowa,19065,230,6,6415
1958665,Ogden,Iowa,19015,15,6,2044
1959115,Onawa,Iowa,19133,4,6,2998
1959475,Orange City,Iowa,19167,504,7,6004
1959745,Osage,Iowa,19131,507,7,3619
1959835,Osceola,Iowa,19039,526,6,4929
1959925,Oskaloosa,Iowa,19123,393,7,11463
1960465,Ottumwa,Iowa,19179,393,5,25023
1961590,Parkersburg,Iowa,19023,230,8,1870
1961905,Paullina,Iowa,19141,504,7,1056
1962040,Pella,Iowa,19125,393,6,10352
1963975,Pocahontas,Iowa,19151,564,9,1789
1964290,Postville,Iowa,19005,470,6,2227
1964650,Primghar,Iowa,19141,504,7,909
1966135,Red Oak,Iowa,19137,295,6,5742
1966315,Reinbeck,Iowa,19075,230,3,1664
1966405,Remsen,Iowa,19149,4,3,1663
1968160,Rock Rapids,Iowa,19119,504,8,2549
1968205,Rock Valley,Iowa,19167,504,7,3354
1968070,Rockford,Iowa,19067,507,7,860
1968295,Rockwell City,Iowa,19025,401,9,1709
1969645,Sac City,Iowa,19161,564,9,2220
1970410,Sanborn,Iowa,19141,504,7,1404
1972210,Sheffield,Iowa,19069,561,7,1172
1972390,Sheldon,Iowa,19141,504,7,5188
1972525,Shenandoah,Iowa,19145,295,6,5150
1972975,Sibley,Iowa,19143,504,7,2798
1973065,Sidney,Iowa,19071,295,8,1138
1973110,Sigourney,Iowa,19107,393,8,2059
1973290,Sioux Center,Iowa,19167,504,7,7048
1973425,Sioux Rapids,Iowa,19021,564,7,775
1974280,Spencer,Iowa,19041,518,7,11233
1974415,Spirit Lake,Iowa,19059,518,7,4840
